marking, episode: 0, score: 200.0, mean_score: 200.00, std_score: 0.00
episode: 10, score: 100.0, epsilon: 1.00
episode: 20, score: 0.0, epsilon: 1.00
episode: 30, score: 250.0, epsilon: 0.99
episode: 40, score: 600.0, epsilon: 0.99
episode: 50, score: 100.0, epsilon: 0.99
episode: 60, score: 450.0, epsilon: 0.99
episode: 70, score: 250.0, epsilon: 0.98
episode: 80, score: 500.0, epsilon: 0.98
episode: 90, score: 500.0, epsilon: 0.98
marking, episode: 100, score: 0.0, mean_score: 198.50, std_score: 211.24
episode: 100, score: 0.0, epsilon: 0.98
episode: 110, score: 0.0, epsilon: 0.97
episode: 120, score: 200.0, epsilon: 0.97
episode: 130, score: 500.0, epsilon: 0.97
episode: 140, score: 100.0, epsilon: 0.97
episode: 150, score: 450.0, epsilon: 0.96
episode: 160, score: 0.0, epsilon: 0.96
episode: 170, score: 350.0, epsilon: 0.96
episode: 180, score: 100.0, epsilon: 0.96
episode: 190, score: 100.0, epsilon: 0.95
marking, episode: 200, score: 2300.0, mean_score: 237.50, std_score: 310.43
episode: 200, score: 2300.0, epsilon: 0.95
episode: 210, score: 0.0, epsilon: 0.95
episode: 220, score: 0.0, epsilon: 0.95
episode: 230, score: 0.0, epsilon: 0.94
episode: 240, score: 100.0, epsilon: 0.94
episode: 250, score: 0.0, epsilon: 0.94
episode: 260, score: 0.0, epsilon: 0.94
episode: 270, score: 350.0, epsilon: 0.94
episode: 280, score: 0.0, epsilon: 0.93
episode: 290, score: 0.0, epsilon: 0.93
marking, episode: 300, score: 250.0, mean_score: 192.00, std_score: 245.94
episode: 300, score: 250.0, epsilon: 0.93
episode: 310, score: 550.0, epsilon: 0.93
episode: 320, score: 300.0, epsilon: 0.92
episode: 330, score: 250.0, epsilon: 0.92
episode: 340, score: 0.0, epsilon: 0.92
episode: 350, score: 100.0, epsilon: 0.92
episode: 360, score: 0.0, epsilon: 0.91
episode: 370, score: 350.0, epsilon: 0.91
episode: 380, score: 250.0, epsilon: 0.91
episode: 390, score: 350.0, epsilon: 0.91
marking, episode: 400, score: 600.0, mean_score: 285.00, std_score: 249.35
episode: 400, score: 600.0, epsilon: 0.91
episode: 410, score: 200.0, epsilon: 0.90
episode: 420, score: 100.0, epsilon: 0.90
episode: 430, score: 0.0, epsilon: 0.90
episode: 440, score: 250.0, epsilon: 0.90
episode: 450, score: 400.0, epsilon: 0.89
episode: 460, score: 800.0, epsilon: 0.89
episode: 470, score: 250.0, epsilon: 0.89
episode: 480, score: 100.0, epsilon: 0.89
episode: 490, score: 350.0, epsilon: 0.89
marking, episode: 500, score: 700.0, mean_score: 217.50, std_score: 239.41
episode: 500, score: 700.0, epsilon: 0.88
episode: 510, score: 100.0, epsilon: 0.88
episode: 520, score: 0.0, epsilon: 0.88
episode: 530, score: 250.0, epsilon: 0.88
episode: 540, score: 500.0, epsilon: 0.87
episode: 550, score: 0.0, epsilon: 0.87
episode: 560, score: 500.0, epsilon: 0.87
episode: 570, score: 350.0, epsilon: 0.87
episode: 580, score: 1150.0, epsilon: 0.87
episode: 590, score: 0.0, epsilon: 0.86
marking, episode: 600, score: 0.0, mean_score: 253.50, std_score: 317.43
episode: 600, score: 0.0, epsilon: 0.86
episode: 610, score: 600.0, epsilon: 0.86
episode: 620, score: 600.0, epsilon: 0.86
episode: 630, score: 250.0, epsilon: 0.86
episode: 640, score: 450.0, epsilon: 0.85
episode: 650, score: 100.0, epsilon: 0.85
episode: 660, score: 0.0, epsilon: 0.85
episode: 670, score: 0.0, epsilon: 0.85
episode: 680, score: 0.0, epsilon: 0.85
episode: 690, score: 200.0, epsilon: 0.84
marking, episode: 700, score: 450.0, mean_score: 268.00, std_score: 282.45
episode: 700, score: 450.0, epsilon: 0.84
episode: 710, score: 700.0, epsilon: 0.84
episode: 720, score: 250.0, epsilon: 0.84
episode: 730, score: 0.0, epsilon: 0.83
episode: 740, score: 300.0, epsilon: 0.83
episode: 750, score: 100.0, epsilon: 0.83
episode: 760, score: 100.0, epsilon: 0.83
episode: 770, score: 0.0, epsilon: 0.83
episode: 780, score: 250.0, epsilon: 0.82
episode: 790, score: 0.0, epsilon: 0.82
marking, episode: 800, score: 100.0, mean_score: 245.50, std_score: 267.40
episode: 800, score: 100.0, epsilon: 0.82
episode: 810, score: 600.0, epsilon: 0.82
episode: 820, score: 0.0, epsilon: 0.82
episode: 830, score: 0.0, epsilon: 0.81
episode: 840, score: 200.0, epsilon: 0.81
episode: 850, score: 100.0, epsilon: 0.81
episode: 860, score: 950.0, epsilon: 0.81
episode: 870, score: 450.0, epsilon: 0.81
episode: 880, score: 100.0, epsilon: 0.80
episode: 890, score: 250.0, epsilon: 0.80
marking, episode: 900, score: 350.0, mean_score: 243.50, std_score: 245.12
episode: 900, score: 350.0, epsilon: 0.80
episode: 910, score: 0.0, epsilon: 0.80
episode: 920, score: 450.0, epsilon: 0.80
episode: 930, score: 0.0, epsilon: 0.79
episode: 940, score: 100.0, epsilon: 0.79
episode: 950, score: 250.0, epsilon: 0.79
episode: 960, score: 0.0, epsilon: 0.79
episode: 970, score: 0.0, epsilon: 0.79
episode: 980, score: 0.0, epsilon: 0.78
episode: 990, score: 0.0, epsilon: 0.78
marking, episode: 1000, score: 100.0, mean_score: 215.50, std_score: 218.71
episode: 1000, score: 100.0, epsilon: 0.78
episode: 1010, score: 200.0, epsilon: 0.78
episode: 1020, score: 0.0, epsilon: 0.78
episode: 1030, score: 1050.0, epsilon: 0.78
episode: 1040, score: 0.0, epsilon: 0.77
episode: 1050, score: 0.0, epsilon: 0.77
episode: 1060, score: 0.0, epsilon: 0.77
episode: 1070, score: 0.0, epsilon: 0.77
episode: 1080, score: 350.0, epsilon: 0.77
episode: 1090, score: 250.0, epsilon: 0.76
marking, episode: 1100, score: 100.0, mean_score: 247.50, std_score: 266.96
episode: 1100, score: 100.0, epsilon: 0.76
episode: 1110, score: 100.0, epsilon: 0.76
episode: 1120, score: 100.0, epsilon: 0.76
episode: 1130, score: 200.0, epsilon: 0.76
episode: 1140, score: 100.0, epsilon: 0.75
episode: 1150, score: 600.0, epsilon: 0.75
